Company,File No.,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
Admiral Insurance Company,600473,02/01/2016,03/28/2016,Professional Liability,,Marketing/Sales,Misrepresentation,Company Position Upheld,Unjustified,0.00,Closed
Aegis Security Insurance Company,502703,06/10/2015,09/24/2015,Fidelity and Surety,,Premium and Rating,Excessive Charges,Corrective Action,Unjustified,0.00,Closed
Allstate Insurance Company,800456,01/26/2018,04/02/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Aetna Health and Life Insurance Company,700313,01/19/2017,02/03/2017,Group Health,Prescription,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Aetna Health and Life Insurance Company,702722,06/12/2017,07/06/2017,Group Disability Income,Short Term Group,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Liberty Insurance Corporation,801224,03/12/2018,04/02/2018,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Amica Mutual Insurance Company,801374,03/20/2018,04/02/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Unjustified,0.00,Closed
Progressive Direct Insurance Company,805199,11/02/2018,12/05/2018,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",802630,06/06/2018,08/06/2018,Group Health,Out-Patient,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",801425,03/22/2018,06/27/2018,Exchange-Individual Hlth,Behavl Hlth/Subst Abuse,Utilization Review,Medical Necessity,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",802046,04/27/2018,06/27/2018,Individual Health,No SubCov - AH,Premium and Rating,Premium/Notice,Cancellation Upheld,Furnished Information,0.00,Closed
State Farm Fire & Casualty Company,801265,03/15/2018,04/02/2018,Homeowners,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",802770,06/14/2018,07/17/2018,Group Health,Out-Patient,Unfair Claims Practice,Claim Delays,Satisfied,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",804500,09/21/2018,10/03/2018,,,Unfair Claims Practice,Coordination of Benefit,Furnished Information,Furnished Information,0.00,Closed
MedAmerica Insurance Company,803595,08/03/2018,08/06/2018,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
"National Union Fire Insurance Company of Pittsburgh, PA",801257,03/15/2018,04/02/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Genworth Life Insurance Company,801539,03/28/2018,04/02/2018,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Nationwide General Insurance Company,801260,03/15/2018,04/02/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
Time Insurance Company II,701638,04/04/2017,04/11/2017,Dental,Dental,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
CSAA Fire & Casualty Insurance Company,900607,02/06/2019,02/27/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Metropolitan Group Property and Casualty Insurance Company,803162,07/11/2018,08/06/2018,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",804500,09/21/2018,10/03/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",803379,07/23/2018,08/06/2018,,,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
Nationwide Mutual Fire Insurance Company,803331,07/19/2018,08/06/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Time Insurance Company II,602516,06/02/2016,06/21/2016,Individual Health,Out-Patient,Unfair Claims Practice,Eligibility of Provider,Additional Money Received,Justified,869.68,Closed
Liberty Insurance Corporation,801378,03/20/2018,04/02/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
National Guardian Life Insurance Company,803183,07/11/2018,08/06/2018,Individual Life,Whole Life,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Wesco Insurance Company,804626,09/28/2018,10/26/2018,,,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
Old Dominion Insurance Company,900659,02/08/2019,02/27/2019,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Questionable,0.00,Closed
Allianz Life Insurance Company of North America,800747,02/14/2018,04/02/2018,Individual Annuity,Equity Indexed Annuity,Marketing/Sales,Misleading Advertising,Company Position Upheld,Unjustified,0.00,Closed
American Progressive Life & Health Insurance Company of New York,802337,05/17/2018,05/30/2018,Individual Life,Other,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Bankers Standard Insurance Company,801023,02/27/2018,04/02/2018,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Progressive Direct Insurance Company,801350,03/19/2018,04/02/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,800358,01/23/2018,04/02/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Transamerica Life Insurance Company,803396,07/24/2018,08/06/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",802770,06/14/2018,07/17/2018,,,Unfair Claims Practice,Claim Delays,Satisfied,Furnished Information,0.00,Closed
ConnectiCare Inc,804381,09/17/2018,10/03/2018,Group Health,Behavl Hlth/Subst Abuse,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Time Insurance Company II,602516,06/02/2016,06/21/2016,,,Unfair Claims Practice,Eligibility of Provider,Additional Money Received,Justified,869.68,Closed
"Anthem Health Plans, Inc",804130,08/29/2018,12/05/2018,Exchange-Individual Hlth,No SubCov - AH,Unfair Claims Practice,Claim Delays,Company Position Upheld,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",900212,01/15/2019,02/27/2019,Group Health,No SubCov - AH,Utilization Review,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Liberty Insurance Corporation,803184,07/11/2018,08/06/2018,Homeowners,,Premium and Rating,Premium Refund Delay,Corrective Action,Justified,924.00,Closed
Allianz Life Insurance Company of North America,800747,02/14/2018,04/02/2018,,,Marketing/Sales,Misleading Advertising,Company Position Upheld,Unjustified,0.00,Closed
Allstate Insurance Company,900605,02/06/2019,02/27/2019,Auto,,Premium and Rating,Excessive Charges,Corrective Action,Unjustified,0.00,Closed
Union Security Insurance Company,801253,03/14/2018,04/02/2018,Group Disability Income,Short Term Group,Underwriting,Cancellation,Furnished Information,Furnished Information,0.00,Closed
GEICO Indemnity Company,801288,03/15/2018,04/02/2018,Auto Physical Damage,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Aetna Health Inc,405979,12/04/2014,02/19/2015,Group Health,MRI,Statute Violation,No Subreason,Corrective Action,Justified,136808.00,Closed
Aetna Health Inc,406249,12/22/2014,06/08/2015,Group Health,Chiropractic,Unfair Claims Practice,Provider Contract Issue,Furnished Information,Furnished Information,0.00,Closed
Aetna Health Inc,500070,01/07/2015,02/05/2015,Group Health,Out-Patient,Marketing/Sales,Policy Service,Corrective Action,Justified,118.00,Closed
Aetna Health and Life Insurance Company,801192,03/12/2018,03/20/2018,Group Health,Out-Patient,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Aetna Health Inc,500139,01/12/2015,01/13/2015,Group Health,Small Employer,Premium and Rating,Premium/Notice,Record Only,No Action Necessary,0.00,Closed
"Anthem Health Plans, Inc",803540,07/31/2018,08/06/2018,Ind Medicare Supplemental,No SubCov - AH,Premium and Rating,Premium/Notice,Insufficient Information,No Action Necessary,0.00,Closed
Aetna Health Inc,501136,03/10/2015,10/21/2015,Group Health,Chiropractic,Unfair Claims Practice,Denial of Claim,Insufficient Information,Furnished Information,0.00,Closed
"National Union Fire Insurance Company of Pittsburgh, PA",801257,03/15/2018,04/02/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",805455,11/19/2018,12/05/2018,Exchange-Individual Hlth,AIDS,Premium and Rating,Premium/Notice,Pol Restored/Reinstated,Furnished Information,0.00,Closed
Aetna Health Inc,501925,04/24/2015,04/27/2015,Group Health,Breast MRI/Ultrasound,Unfair Claims Practice,Mandated Benefit,Claim Settled,Voluntary Reconsider,475.55,Closed
Aetna Health Inc,502076,05/04/2015,05/14/2015,Group/Association Trust,Dental,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
GEICO General Insurance Company,801105,03/05/2018,04/02/2018,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
Aetna Health Inc,502536,06/02/2015,07/28/2015,Group Health,Prescription,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,801350,03/19/2018,04/02/2018,Auto Physical Damage,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
"HealthyCT, Inc.",802507,05/29/2018,06/27/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Eligibility of Provider,Furnished Information,Furnished Information,0.00,Closed
Aetna Health Inc,503724,08/12/2015,08/26/2015,Individual Health,Student Accident/Sickness,Underwriting,Cancellation,Corrective Action,Justified,0.00,Closed
Aetna Health Inc,504049,09/01/2015,09/11/2015,Individual Health,Dental,Underwriting,Refusal to Insure,Contract Provision,Furnished Information,0.00,Closed
Aetna Health Inc,505627,12/14/2015,01/14/2016,Group Health,Physical Therapy,Unfair Claims Practice,Coordination of Benefit,Satisfied,Furnished Information,0.00,Closed
"ConnectiCare Benefits, Inc.",804326,09/12/2018,10/03/2018,Exchange-Individual Hlth,CT Scan,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
Pilgrim Insurance Company,800464,01/26/2018,04/02/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,445.87,Closed
Time Insurance Company II,604836,10/20/2016,11/15/2016,Individual Life,Whole Life,Marketing/Sales,Misleading Advertising,Contract Provision,Unjustified,0.00,Closed
GEICO General Insurance Company,900621,02/06/2019,02/27/2019,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Aetna Health Inc,601109,03/08/2016,03/30/2016,Group Health,Radiology,Unfair Claims Practice,Provider Contract Issue,Insufficient Information,No Action Necessary,0.00,Closed
Aetna Health Inc,602085,05/04/2016,06/03/2016,Group Health,Student Accident/Sickness,Unfair Claims Practice,Subrogation,Furnished Information,Furnished Information,0.00,Closed
Aetna Health Inc,602985,06/29/2016,07/20/2016,Group Health,Out-Patient,Unfair Claims Practice,Coordination of Benefit,Corrective Action,Justified,484.62,Closed
Aetna Health Inc,701064,03/03/2017,03/17/2017,Group Health,Cancer Related,Unfair Claims Practice,Denial of Claim,Insufficient Information,No Action Necessary,0.00,Closed
Metropolitan Group Property and Casualty Insurance Company,800024,01/03/2018,01/18/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Acadia Insurance Company,705745,12/20/2017,01/18/2018,General Liability,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
IDS Property Casualty Insurance Company,800019,01/02/2018,01/18/2018,Auto Liability,,Unfair Claims Practice,Diminished Value,Enter Arbitration,Unjustified,0.00,Closed
Standard Insurance Company,705814,12/27/2017,01/18/2018,,,Unfair Claims Practice,Denial of Claim,Coverage Granted,Voluntary Reconsider,747.00,Closed
Progressive Direct Insurance Company,800020,01/02/2018,01/18/2018,,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,18595.30,Closed
Government Employees Insurance Company,800020,01/02/2018,01/18/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Standard Insurance Company,705814,12/27/2017,01/18/2018,Dental,Dental,Unfair Claims Practice,Denial of Claim,Coverage Granted,Voluntary Reconsider,747.00,Closed
USAA General Indemnity Company,800051,01/05/2018,01/18/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
Metropolitan Group Property and Casualty Insurance Company,804555,09/25/2018,12/05/2018,,,Unfair Claims Practice,Claim Procedure,Corrective Action,Justified,870.91,Closed
Progressive Casualty Insurance Company,801264,03/15/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
GEICO General Insurance Company,801110,03/05/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Subrogation,Corrective Action,Justified,5426.91,Closed
Aetna Health Inc,703413,07/27/2017,08/14/2017,Group Health,Prescription,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",803379,07/23/2018,08/06/2018,Individual Health,Hearing Aids,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
Aetna Insurance Company of Connecticut,500338,01/28/2015,02/20/2015,Group/Association Trust,Student Accident/Sickness,Premium and Rating,Premium Refund Delay,Furnished Information,Furnished Information,0.00,Closed
Aetna Insurance Company of Connecticut,605438,11/29/2016,12/13/2016,Dental,Dental,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
CSAA Affinity Insurance Company,801439,03/23/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,1171.73,Closed
"ConnectiCare Insurance Company, Inc",804749,10/10/2018,12/05/2018,Group Health,Infertility,Unfair Claims Practice,Contract Provision,Coverage Granted,Justified,0.00,Closed
Allstate Insurance Company,803301,07/18/2018,08/06/2018,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Allianz Life Insurance Company of North America,803403,07/24/2018,08/06/2018,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Metropolitan Property and Casualty Insurance Company,805513,11/23/2018,12/05/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",802685,06/08/2018,08/06/2018,Exchange-Individual Hlth,Prescription,Unfair Claims Practice,Denial of Claim,Claim Settled,Furnished Information,176.00,Closed
National Guardian Life Insurance Company,803183,07/11/2018,08/06/2018,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
